sigla,genero,qtd_clientes,pct_clientes,valor_total
BS,Feminino,292,63.34056399132321,241714.19
BS,Masculino,164,35.57483731019523,132590.50999999998
BS,Nao Informado,3,0.6507592190889371,764.46
BS,Outro,2,0.43383947939262474,591.6800000000001
CS,Feminino,1346,77.26750861079219,1329314.16
CS,Masculino,393,22.560275545350173,436341.95
CS,Nao Informado,2,0.1148105625717566,1177.0
CS,Outro,1,0.0574052812858783,258.0
NK,Feminino,135,72.19251336898395,120672.14
NK,Masculino,51,27.27272727272727,61402.54
NK,Nao Informado,1,0.53475935828877,412.1
GS,Masculino,29,42.64705882352941,27837.719999999998
GS,Feminino,39,57.35294117647059,23376.050000000003
NR,Feminino,117,70.48192771084338,238495.87
NR,Masculino,49,29.518072289156628,64837.86
NS,Feminino,40,58.82352941176471,14368.419999999998
NS,Masculino,28,41.17647058823529,15178.990000000002
