sigla,genero,qtd_clientes,pct_clientes,valor_total
CS,Feminino,291,63.39869281045751,241254.27000000002
CS,Masculino,163,35.5119825708061,132390.61
CS,Nao Informado,3,0.6535947712418301,764.46
CS,Outro,2,0.4357298474945534,591.6800000000001
BS,Feminino,1260,77.63401109057301,1183433.96
BS,Masculino,360,22.181146025878004,385684.64
BS,Nao Informado,2,0.12322858903265559,1177.0
BS,Outro,1,0.06161429451632779,258.0
NK,Feminino,126,72.41379310344827,116815.87000000001
NK,Masculino,47,27.011494252873565,55612.64
NK,Nao Informado,1,0.5747126436781609,412.1
NR,Masculino,29,42.64705882352941,27837.719999999998
NR,Feminino,39,57.35294117647059,23376.050000000003
GS,Feminino,117,70.48192771084338,238495.87
GS,Masculino,49,29.518072289156628,64837.86
NS,Feminino,35,56.451612903225815,11720.66
NS,Masculino,27,43.54838709677419,14599.039999999999
