faixa_etaria,segmento,valor,clientes,ranking
Gen Z (1997-2012),Moda,120935.25,171,1
Gen Z (1997-2012),Serviços,66860.15,2,2
Gen Z (1997-2012),Eletrônicos,8799.0,1,3
Gen Z (1997-2012),Calçados,7127.75,17,4
Gen Z (1997-2012),Joalheria,5126.0,3,5
Millennials (1981-1996),Moda,764189.59,974,1
Millennials (1981-1996),Joalheria,132254.27,26,2
Millennials (1981-1996),Telefonia,67633.0,19,3
Millennials (1981-1996),Calçados,57864.89,116,4
Millennials (1981-1996),Casa e Decoração,23203.2,40,5
Gen X (1965-1980),Moda,499797.26,605,1
Gen X (1965-1980),Joalheria,119668.14,23,2
Gen X (1965-1980),Telefonia,118245.71,28,3
Gen X (1965-1980),Serviços,64454.59,3,4
Gen X (1965-1980),Calçados,37890.8,85,5
Boomers (1946-1964),Moda,100435.87,147,1
Boomers (1946-1964),Joalheria,33336.0,6,2
Boomers (1946-1964),Serviços,20666.43,1,3
Boomers (1946-1964),Calçados,17366.57,27,4
Boomers (1946-1964),Beleza e Bem-estar,3092.06,9,5
Nao Informado,Moda,862.49,2,1
Nao Informado,Livrarias,112.42,1,2
Nao Informado,Gastronomia,54.4,1,3
Nao Informado,Eletrodomésticos,51.97,1,4
Nao Informado,Beleza e Bem-estar,22.9,1,5
Silent (antes 1946),Moda,2993.15,3,1
